top - 05:21:28 up 1 min,  1 user,  load average: 2.31, 1.08, 0.41
Tasks: 104 total,   1 running, 103 sleeping,   0 stopped,   0 zombie
%Cpu(s): 47.0 us, 32.7 sy,  0.0 ni, 19.1 id,  0.6 wa,  0.0 hi,  0.5 si,  0.0 st
KiB Mem :  1015944 total,   761316 free,    37912 used,   216716 buff/cache
KiB Swap:   998396 total,   998396 free,        0 used.   826596 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  403 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ib_nl_sa_wq
  405 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ib_cm
  406 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 iw_cm_wq
  408 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 rdma_cm
  419 root      20   0   44328   3728   3036 S  0.0  0.4   0:00.99 systemd-udevd
  482 systemd+  20   0  100320   2464   2252 S  0.0  0.2   0:00.30 systemd-timesyn
  659 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kvm-irqfd-clean
  739 root      20   0   16120    852      0 S  0.0  0.1   0:00.00 dhclient
  844 root      20   0   95364   1448   1312 S  0.0  0.1   0:00.06 lxcfs
  850 message+  20   0   42896   3676   3268 S  0.0  0.4   0:00.67 dbus-daemon
  870 syslog    20   0  256388   3256   2668 S  0.0  0.3   0:00.33 rsyslogd
  874 root      20   0    4392   1272   1188 S  0.0  0.1   0:00.16 acpid
  877 root      20   0   29004   3012   2740 S  0.0  0.3   0:00.05 cron
  880 root      20   0  275864   6168   5464 S  0.0  0.6   0:00.60 accounts-daemon
  891 daemon    20   0   26040   2196   2000 S  0.0  0.2   0:00.02 atd
  897 root      20   0   28544   3032   2728 S  0.0  0.3   0:00.35 systemd-logind
  923 root      20   0   13368    160     20 S  0.0  0.0   0:00.00 mdadm
  967 root      20   0  277084   5844   5188 S  0.0  0.6   0:00.21 polkitd
  983 root      20   0  177036  19576  11520 S  0.0  1.9   0:02.83 unattended-upgr
 1001 root      20   0    5216    148     36 S  0.0  0.0   0:00.02 iscsid
 1002 root      10 -10    5716   3504   2424 S  0.0  0.3   0:00.11 iscsid
 1057 root      20   0   65828   3372   2864 S  0.0  0.3   0:00.34 login
 1178 siena     20   0   45140   4304   3676 S  0.0  0.4   0:00.30 systemd
 1181 siena     20   0   60772   1528      4 S  0.0  0.2   0:00.00 (sd-pam)
 1186 siena     20   0   22604   5268   3356 S  0.0  0.5   0:01.33 bash
 1212 siena     20   0    4500    700    632 S  0.0  0.1   0:00.00 sh
 1213 siena     20   0    4500    756    688 S  0.0  0.1   0:00.00 sh
 1214 siena     20   0    4500    744    676 S  0.0  0.1   0:00.02 sh
