top - 04:56:59 up 15 min,  1 user,  load average: 6.33, 3.31, 1.93
Tasks:  99 total,   1 running,  98 sleeping,   0 stopped,   0 zombie
%Cpu(s): 66.0 us,  6.0 sy,  0.0 ni, 27.6 id,  0.3 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  3080332 total,  2878096 free,    43056 used,   159180 buff/cache
KiB Swap:   998396 total,   998396 free,        0 used.  2877120 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
   80 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 deferwq
   81 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 charger_manager
  126 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  127 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  128 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  129 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  130 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  131 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  132 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  133 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  136 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kpsmoused
  138 root       0 -20       0      0      0 S  0.0  0.0   0:00.13 kworker/0:1H
  218 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 raid5wq
  243 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
  268 root      20   0       0      0      0 S  0.0  0.0   0:00.20 jbd2/sda1-8
  269 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ext4-rsv-conver
  357 root      20   0   30928   3140   2824 S  0.0  0.1   0:01.60 systemd-journal
  369 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kauditd
  370 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 iscsi_eh
  390 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ib_addr
  395 root      20   0   94768   1492   1320 S  0.0  0.0   0:00.08 lvmetad
  396 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ib_mcast
  399 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ib_nl_sa_wq
  400 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ib_cm
  402 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 iw_cm_wq
  404 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 rdma_cm
  417 root      20   0   44144   3588   2972 S  0.0  0.1   0:01.38 systemd-udevd
  490 systemd+  20   0  100320   2448   2244 S  0.0  0.1   0:00.46 systemd-timesyn
  663 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kvm-irqfd-clean
  734 root      20   0   16120    856      0 S  0.0  0.0   0:00.00 dhclient
  832 root      20   0       0      0      0 S  0.0  0.0   0:00.08 kworker/0:3
  856 root      20   0  275864   6012   5304 S  0.0  0.2   0:00.93 accounts-daemon
  865 daemon    20   0   26040   2208   2012 S  0.0  0.1   0:00.03 atd
  870 root      20   0   29004   2980   2712 S  0.0  0.1   0:00.08 cron
