top - 05:17:41 up 17 min,  1 user,  load average: 7.13, 3.35, 1.77
Tasks: 102 total,   1 running, 100 sleeping,   1 stopped,   0 zombie
%Cpu(s): 53.7 us, 31.4 sy,  0.6 ni, 10.6 id,  3.3 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem :  2048136 total,  1281332 free,    41460 used,   725344 buff/cache
KiB Swap:   998396 total,   998396 free,        0 used.  1839640 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  838 daemon    20   0   26040   2148   1948 S  0.0  0.1   0:00.02 atd
  848 root      20   0    4392   1272   1188 S  0.0  0.1   0:00.29 acpid
  851 root      20   0   28540   2976   2664 S  0.0  0.1   0:04.77 systemd-logind
  854 root      20   0   29004   2824   2552 S  0.0  0.1   0:00.06 cron
  857 syslog    20   0  256388   3252   2668 S  0.0  0.2   0:00.49 rsyslogd
  859 root      20   0   95364   1424   1292 S  0.0  0.1   0:00.08 lxcfs
  867 message+  20   0   43036   4048   3424 S  0.0  0.2   0:11.99 dbus-daemon
  920 root      20   0   13368    164     20 S  0.0  0.0   0:00.00 mdadm
  933 root      20   0  277084   6048   5392 S  0.0  0.3   0:00.32 polkitd
  974 root      20   0  174620  19736  11612 S  0.0  1.0   0:02.40 unattended-upgr
  994 root      20   0    5216    116      0 S  0.0  0.0   0:00.29 iscsid
  995 root      10 -10    5716   3512   2428 S  0.0  0.2   0:01.32 iscsid
 1058 root      20   0   65828   3252   2740 S  0.0  0.2   0:00.32 login
 1177 siena     20   0   45316   4464   3740 S  0.0  0.2   0:00.25 systemd
 1183 siena     20   0   60928   1596      0 S  0.0  0.1   0:00.00 (sd-pam)
 1186 siena     20   0   22604   5224   3312 S  0.0  0.3   0:01.73 bash
 1198 root      20   0   52700   3652   3228 T  0.0  0.2   0:00.15 sudo
 8623 root      20   0       0      0      0 S  0.0  0.0   0:00.31 kworker/u2:2
10927 root      20   0       0      0      0 S  0.0  0.0   0:00.51 kworker/0:0
10928 systemd+  20   0  100320   2436   2228 S  0.0  0.1   0:00.18 systemd-timesyn
14744 root      20   0   44068   3276   2848 S  0.0  0.2   0:00.18 systemd-udevd
18076 root      20   0       0      0      0 S  0.0  0.0   0:00.79 kworker/u2:0
22503 siena     20   0    4500    696    624 S  0.0  0.0   0:00.00 sh
22523 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kworker/0:2
22532 siena     20   0    4500    708    636 S  0.0  0.0   0:00.00 sh
22533 siena     20   0    4500   1568   1476 S  0.0  0.1   0:00.02 sh
